Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production,Error
Ronquillo,1993,"10749, 28, 18",,tl,https://image.tmdb.org/t/p/w500/iDXNy6ctlNq46kUor52mNjFEIVl.jpg,6,Joey Del Rosario,"Regal Entertainment Inc., Star Cinema – ABS-CBN Film Productions",
Gunman II,1988,80,"The border of Burma and Thailand is lawless place, where people live and die by the law of the gun. Into this situation comes a young police lieutenant, intent on reforming the rough and rowdy local police force along the Salween River. But the ongoing fight by the Karen tribe against the Burmese government spills over into the Thailand, making the lieutenant's task a difficult one.",th,N/A,6.2,Chatrichalerm Yukol,,
El gorra prieta,1993,18,,es,N/A,5,Alberto Mariscal,,
Ranger II: El narcotunel,1993,,,es,https://image.tmdb.org/t/p/w500/bezEkxQKfYKl5umZ05z1T33DSlh.jpg,5,N/A,,
Angels of Death,1993,27,"When they were younger, a pair of beautiful sisters were forced to watch a bunch of thugs brutally kill their parents. Not bad enough? Well, OK then, they were also savagely raped. Now someone's going around slashing people up. Has one or both of the sisters lost it? A couple of police detectives try to find out.",es,https://image.tmdb.org/t/p/w500/xGjW8PeonIBt9HIyMrhbxXgH4XC.jpg,5.7,Fernando Durán Rojas,,
Canada Naturally: The Film (Part One),1993,99,Documentary about naturism in Canada.,en,N/A,0,David P. Ball,Heritage Video Int.,
Isang Bala Ka Lang Part 2,1996,28,"Fernando Poe Jr., stars as a dedicated retired policeman forced to join the police force anew to go after a corrupt politician.Landlord Ernie was making life difficult for, a cop out to help Berting find new lodging as he goes undercover. Ernie shifts gears upon meeting Berting and practically bends over backwards to get the cop as a lodger.Not much later, Ernie decides to start his courtship of Berting by serving his specialty dish: BAHALINA. The madcap flirtation ends in mayhem when the neighborhood goons come for an unexpected visit.- Written by ledster",tl,N/A,0,Fernando Poe Jr.,Vision Films [ph],
Kapag Iginuhit Ang Hatol Ng Puso,1993,"10749, 18","The serial tells the tragic love story of Vina, a single woman who wants to have a baby despite her advanced age. With the help of her best friend, she met Dave, the man she will eventually fall in love and have a child with. Unknown to Vina, Dave was her best friend's lover, and in the end, Vina would discover that her best friend and the man she loved plotted together to ruin her and her son's lives.",tl,https://image.tmdb.org/t/p/w500/5DXwQ4i4O3MSPeA15YzQKJsCHWn.jpg,0,Celso Ad. Castillo,Viva Films,
Maryam and Mitil,1993,"18, 10751","A six-year-old girl (Maryam) who has lost her family in the war, is living in an orphanage. She likes a woman called Fereshteh who lives in a house in front of the orphanage. A family (Nasrin and her husband) adopts her and takes her to the north of Iran. Maryam tries to write to Fereshteh and in a proper situation escapes home to reach her.",fa,https://image.tmdb.org/t/p/w500/94ps8IlFtLyt9nMXJ7IvM4MPyBx.jpg,0,Fathali Oveisi,Hedayat Film,
Un pistolero implacable,1993,,,es,https://image.tmdb.org/t/p/w500/5A8FrDHPb6rDam6CKMTgxq4KhsO.jpg,5,N/A,,
Free and Easy 6,1993,,"Hama-chan and Su-san go fishing during a business trip, but Hama-chan has to give a lecture on Su-san's behalf in a case of mistaken identity.",ja,https://image.tmdb.org/t/p/w500/uYzDC5PRoeIGS4sUD2zIbtd3Zp1.jpg,7.5,Tomio Kuriyama,,
Fire on Ice,1991,18,"During a Mayoral election in a small town in the Hill Capital, the son of the opposing candidate is missing while on a trip to Worlds End. The opposing candidate who is a leading lawyer has a mistress named Annette, who now becomes the main suspect. A search begins around Worlds End involving the police and the army, thereby involving the media and people to follow the story.",si,https://image.tmdb.org/t/p/w500/wbh4b0cxLgeGadUdmmESakRzRjJ.jpg,5.5,Prasanna Vithanage,,
Kohra,1993,,"Nisha K. Rathod and Anand Kohli are two collegians who are in love with each other and would like to get married. While Nisha lives with her widowed dad, Customs Officer Kailashnath Rathod, Anand is an orphan living with his paternal uncle,Inspector General of Police, Suryakant Sharma. When the two officials find out, they have a meeting and both agree to this marriage alliance provided Anand gets employed by the Police. Anand undergoes training and does get employed and goes to surprise Nisha. To his shock and surprise he finds her in the arms of another man, Dr. Deepak Kaushal. When he questions her, she refuses to have to do anything with him and tells him to go out of her life. Then Suryakant assigns Anand to the cases of some underworlds criminals, namely Peter Gonzales, Mr. John, and Tinnu.",hi,https://image.tmdb.org/t/p/w500/dt8qjNZFaPBWqo2atKRma1OKx9n.jpg,0,N/A,,
Platform,1993,"28, 80, 18",,hi,https://image.tmdb.org/t/p/w500/2fcDhHTEIUWW4hopYWMgF0Wz39r.jpg,2,Deepak Pawar,,
Shaktiman,1993,"28, 80, 18",,hi,https://image.tmdb.org/t/p/w500/whL3PEHrO3fOOJPaiO1D20KTiCn.jpg,2,K. C. Bokadia,,
"Pita, terror ng Kaloocan",1993,"18, 28","Pita (Raymart Santiago) witnessed the murder of his favorite brother and vowed to take revenge. He did, and was jailed for his vendetta.",tl,https://image.tmdb.org/t/p/w500/1bR9a2MR4U62PJdoNeI6gF7IDRm.jpg,6,Jose 'Kaka' Balagtas,Viva Films,
Contrabando de esmeraldas,1993,12,,es,https://image.tmdb.org/t/p/w500/7iwzhuThtlaLLvOuThbQcx60Jn5.jpg,5,Antonio de Anda,,
Dino... Abangan ang Susunod na...,1993,"35, 28",A Filipino comedy movie starring Anjo Yllana in the title role.,tl,https://image.tmdb.org/t/p/w500/goPYBq2a4koBQZwyXqw7KFzj3XI.jpg,0,Joey Marquez,,
Manchichiritchit,1993,35,"A wacky and hilarious misadventures of a trio of swindlers who chance upon Isko, a man from the countryside who is planning to work overseas but duped on his money by the flirty Dorie together with his accomplices Elvis and Ricky. More trouble ensues when they took custody of Don Sebastian's grand daughters, Brenda and Donna when Don Sebastian was killed by his assailants whose life was saved earlier by the swindlers. Now they will run for their lives because the assailants goes after the wealth left behind by Don Sebastian to her granddaughters.",tl,https://image.tmdb.org/t/p/w500/60izEtfITOMqD5XOYGqrMN69uBf.jpg,0,Ben Feleo,Viva Films,
Michael Laudrup: A Football Player,1993,99,A stil-life of marvellous Danish footballer Michael Laudrups performance on the Barcelona dreamteam 1989-94.,en,N/A,6,Jørgen Leth,,
Las profesoras del amor,1993,,,es,https://image.tmdb.org/t/p/w500/wnGX2RQJfQD4rX2vvv2uPqz2EMw.jpg,5,Ángel Rodríguez Vázquez,Producciones Géminis,
Sala Sa Init Sala Sa Lamig,1993,"28, 10749, 35",A suave ex-cop and a sassy pickpocket are finding it difficult to co-exist as neighbors. Although they may have to team up to take down an assassin who's on a killing spree.,tl,https://image.tmdb.org/t/p/w500/1F6QWn6gznY8PDqVVgJYPsfKnuH.jpg,0,Pepe Marcos,Viva Films,
Yaouled,1993,18,Directed by Rachid Benallal.,ar,https://image.tmdb.org/t/p/w500/fTeGXrS7JJPQd7lX0BKwuOeDnUC.jpg,10,Rachid Benallal,"Centre Algérien pour l'Art et l'Industrie Cinématographique (CAAIC), Entreprise Nationale de Production Audiovisuelle (ENPA)",
Crepe,1993,18,Based on the story of the same name by Shizuka Ijûin. Ran as a double feature with Chibusa (1993).,ja,https://image.tmdb.org/t/p/w500/mOlTMbpT4qAPutuSyWCABeisTj0.jpg,0,Jun Ichikawa,"TFC, Seiyu",
Hombres de acero,1993,,,es,N/A,5,N/A,,
The Mix-up,1994,"35, 14","Ihsan is a simple employee in the Ministry of Culture from the house to the office and vice versa his work colleague Nargis  loves and plans to marry him. He is surprised by one of the security authorities arrested and directed a number of charges, which does not know the cause and continues to haunt him",ar,https://image.tmdb.org/t/p/w500/E2oJh9w0lDWq6mcg9iTrlWKApu.jpg,9,Medhat El-Sebaiy,"الشركة العالمية للتليفزيون والسينما (حسين القلا), أفلام النصر (محمد حسن رمزي وشركاه), الأهرام للسينما والفيديو",
Elephant in the Hospital,1992,10751,,de,https://image.tmdb.org/t/p/w500/uJC46WjP8rgeuApFdh482X7uTeY.jpg,0,Karola Hattop,"DEFA, Fernsehen der DDR",
Maricris Sioson Japayuki,1993,"18, 80",The quest for truth about the plight of a Filipina entertainer who went to Japan for greener pastures and was brought back to Manila dead.,en,https://image.tmdb.org/t/p/w500/1GjTOtAsIqa01hauQb0SQoloaEj.jpg,2,Joey Romero,Regal Entertainment Inc.,
El triste juego del amor,1993,,,es,N/A,5,N/A,,
On a Windy Day We Must Go to Apgujeong,1993,"18, 10749","Young-hoon, a poet with dreams of becoming a movie director, films the lives of the people around him in Apgujeong, one of the most modern and international districts of Seoul. However, when he films Hye-jin in her bright red convertible, he falls in love with her image and decides that he cannot live without her.",ko,https://image.tmdb.org/t/p/w500/7w5vELL7BMd8S9iyfZCeYGbQVj7.jpg,0,Yoo Ha,Hap Dong Film,
The Devil's Puppets,1993,"35, 18","A young Frenchman receives a royal award for his scientific discovery. The new laureate agrees to become a client of an elite bank, which stores the “future offsprings” of many great people. Upon learning of this, the Frenchman’s bride, the daughter of a Greek millionaire, decides to destroy this bank.  She cannot live with the fact that anyone can now have a child from her simple-minded husband. To implement her plan, she contacts the monastery under the guise of sister Teresa, a famous cracker of safes. The third accomplice is a Russian champion in skydiving. Later they are joined by a Japanese karateka and an Italian prostitute.",ru,https://image.tmdb.org/t/p/w500/BZHDwYWad2lbNJme3EYssdY57F.jpg,0,Yuri Rybchenok,Belarusfilm,
Obligado a matar,1993,,,es,https://image.tmdb.org/t/p/w500/swHIpUa8FX1xf8X0CuMOBX40fyY.jpg,5,Hugo Stiglitz,,
Marseille en mars,1993,,"During the campaign of the legislative elections of 1995, most of the protagonists of Marseille from father to son reflect on the notion of democracy, the future of parties, the differences between left and right.",fr,N/A,0,Jean-Louis Comolli,,
Mee Haraka - මී හරකා,1994,18,An illiterate and sexually frustrated young man finds himself attracted to a chic woman from the city who has come to his rural village as a school teacher.,si,https://image.tmdb.org/t/p/w500/h6GDBbRCrohstrEfMmbV38vgM5J.jpg,0,I.N. Hewawasam,,
It's My Fault,1993,18,"Gypsies steal a large shipment of drugs worth $40,000,000 from the mafia and kill a drug courier. In response, the bandits kidnap the daughter of the gypsy baron Alan, little Rose, and forcibly put her on a needle. Alan's revenge is inevitable and merciless. But will he be able to get to the godfather of the drug syndicate Victor.",ru,https://image.tmdb.org/t/p/w500/7lvBloYKC7sIvmzsOsOhycagoa3.jpg,0,Dufunya Vishnevskiy,Gypsy Center «Romale»,
"Grandpa Is Good, But... Won't Say Where He's Hidden the Money",1992,35,"Stepan Ivanovich - a veteran of the party, being in the responsible post of commissar of finance, decided to make a gift to the future generation, for which he hid two pounds of gold. An enterprising typist who helps in writing memoirs, having learned about the hidden treasure, is trying to “help” his grandfather suffering from sclerosis, to remember where he hid it, bringing into the matter her husband and the first psychic they could find. But the old man remembers everything ... except the place where he buried the treasure.",en,https://image.tmdb.org/t/p/w500/7Cka7qFP2tv2v1klcpxhZ6fxm3j.jpg,0,Igor Rukh,"Gorky Film Studios, Mosfilm, Tsentrnauchfilm",
Dangerous Affairs,2021,,"Samantha is engaged to Adam but Samantha is ""doing"" Adam's dad, Harold. Adam's best friend, Bobby, a do-nothing barfly after his pro-football-career-ending knee injury, is unattached, but always looking. In a singular liaison outside of his relationship with Samantha, Adam gets it on with Lynn, who also went to bed with Bobby. Lynn is a nurse, who attends elderly AIDS patient. Mrs. Applegate. One day - before all of this",en,https://image.tmdb.org/t/p/w500/f1NF5HKAjtFLgBqaxxuAHI1cvCG.jpg,0,N/A,Love Her Feet,
15th August,1993,18,"Nagpal kills Chaudhry and his son, Ram, a military officer. Chaudhry's second son, Vikram, vows to destroy Nagpal who is all set to become the Chief Minister on the upcoming Indian Independence Day.",hi,https://image.tmdb.org/t/p/w500/A3AND4ZTZ4H2i6l8MizuzKMqx0W.jpg,3.5,Vicky Ranawat,,
Zakhmi Rooh,1993,27,"Seema and Reema are lookalike step sisters.Shekar a dancer is in love with Seema he sees Reema smoking and drinking and slaps her mistakenly thinking her to be Seema,Reema goes to Bombay to revenge on her father Jugal Kishore who had left her mother when she was in her womb she sees Shekar dancing with a girl and gets attracted towards him but finds that he loves Seema and wants him at any cost.Reema falls in clutches lustful Rocky and Jengo,Jengo rapes and kills her along his men Mac and Sanki and secretly burn her body in forest.Reema's now turns into a wounded soul and wants revenge.",hi,https://image.tmdb.org/t/p/w500/hG8KguqbAnk244zzOpGL5K38p6w.jpg,10,Pawan Kumar,,
Zapatlelya Betawar,N/A,,A group of college friends decide to go for picnic they befriend a colonel and his daughter at the spot soon the picnic will turn into a horror when they find a lost treasure one by one will be killed but whose behind all this killings.,en,N/A,0,N/A,,
Diabolical Inheritance,1994,27,"When Tony, a successful businessman, receives a call informing him that he has inherited his late aunt's vast estate, he uproots himself and his wife, Annie, from New York to Mexico City. While adjusting to and exploring their new gothic home, Tony and Annie come upon a mysterious clown doll. Although merely unnerved by the doll’s strange appearance at first, Annie soon becomes concerned as it begins turning up out of nowhere in every corner of the house. When a series of fatal 'accidents’ occur on or near the couple’s property, with the doll always at the scene, Tony and Annie come to the terrifying realization that a sinister force has possessed it, and begin a race against time to figure out how to bring the carnage to an end!",es,https://image.tmdb.org/t/p/w500/sVLGhyZpEhOyRVnE6Q0HhIH1XHc.jpg,4.1,Alfredo Salazar,,
Kasam Teri Kasam,1993,,"Ravi is a son of a millionare and he does not value the true love of Annu; his office assistant. When he gets married to Rita, his life becomes miserble and soon realizes the evil plans pf Rita's family",en,N/A,0,N/A,,
Khoon Ka Sindoor,1993,,Asha (Upasna Singh) and Amar (Siddharth) are both police officers and love each other. They soon get married. Asha is informed about an international Crime Syndicate. Will she be able to uncover this syndicate?,en,https://image.tmdb.org/t/p/w500/dJB6QUpCNdcdzlpeptqb8xVvUm9.jpg,0,N/A,,
A las puertas del infierno,1993,,,es,https://image.tmdb.org/t/p/w500/mpHx2rtt0mlDV0b5lqcLhlfveaM.jpg,5,N/A,,
Virgen de medianoche,1993,,,es,https://image.tmdb.org/t/p/w500/3IefDE08UZi97N8cH6zJraSz38c.jpg,5,Ulises Guzmán Reyes,"Centro Universitario de Estudios Cinematográficos (CUEC), UNAM, Producciones Michilito",
Greetings from Out Here,1993,,"Interview with southern gays and lesbians highlight the issues surrounding being ""Out"" in the south as well as the impact of AIDS on the rural south.",en,https://image.tmdb.org/t/p/w500/cfreVCyFeIe46w8yZkFYvadOdVg.jpg,0.8,Ellen Spiro,,
Divine Mercy sa Buhay ni Sister Faustina,1993,18,A true to life story of Blessed sister Faustina and the prayer that we are now reciting popularly called the 3 o'clock habit started and spread out all over the world.,tl,https://image.tmdb.org/t/p/w500/3aRliFBuNqG47pg6jedlfg2Toyh.jpg,0,Ben Yalung,Cine Suerte,
Kung Mawawala Ka Pa,1993,"18, 10749",A story of a married couple brought together by the ilness of their child.,tl,https://image.tmdb.org/t/p/w500/7yAgHB5ZSrYH2LhyP0OtPhVYJSN.jpg,0,Joe Mari Avellana,Reyna Films,
Paniwalaan Mo,1993,"18, 10749","A woman, who is in a relationship, develops a friendship with a painter. Later, they realized they want each other more than friends, that made the relationship complicated.",tl,https://image.tmdb.org/t/p/w500/vpsUh2hikm4K56ENVAVE16uQ4U7.jpg,0,Emmanuel H. Borlaza,OctoArts Films,
The Great Leader Dr. Babasaheb Ambedkar,1993,"36, 18",A film based on one of the world's greatest pioneers Dr. Babasaheb Ambedkar.,mr,https://image.tmdb.org/t/p/w500/7foX8YNJNysasmMxBa9ZLR5g79q.jpg,0,Shashikant Nalavade,"Indian Oil Corporation Ltd., Shri Mumbadevi Chitra",
Kill or Be Killed,1993,28,,de,https://image.tmdb.org/t/p/w500/uyyZMXS0hjRG55ANJgiWFZqtBvK.jpg,0,Joe Straw,,
Balmaa,1993,10749,Vishal is a young college graduate who lives a poor life-style with his medically unfit mother. All his efforts in locating a job are fertile due to the lack of recommendation. Then one day while browsing through the daily newspaper he notices an advertisement for a male spouse needed for a wealthy girl named Madhu. Finding the right opportunity to grab a recommendation he immediately applies and is one of the candidates to be shortlisted and single out for an interview only to be selected and then the marriage takes place. It is this marriage that will change the lives of Vishal and Madhu forever.,hi,https://image.tmdb.org/t/p/w500/wRlAeTJRVykQlGTBtBBwy22yddc.jpg,0,N/A,,
Animation Legend: Winsor McCay,1993,,Video collection of every surviving film ever made by Winsor McKay.,en,N/A,7,N/A,,
La negra Tomasa,1992,"18, 35","Based on the infamous song by the same name ""La Negra Tomasa"". This is a comical adventure based in a barrio in Mexico. César Bono plays a police office, Alfonso Zayas a ladies' man and Roberto Ballesteros a dangerous loan shark who abducts Tomasa out of passion.",es,https://image.tmdb.org/t/p/w500/tlSWqP2y6HhCfcXj72v4xTDOWTG.jpg,6.9,Gilberto Martínez Solares,Frontera Films,
La loteria,1993,,Four stories that tell the tales of lottery winner. Each story features a different cast of street vendors.,en,https://image.tmdb.org/t/p/w500/cAx2YgJcVkeOFgmT1dIuFR0jDUf.jpg,5,Juan Fernando Pérez Gavilán,"Televicine, Filmex",
Masahol Pa Sa Hayop,1993,"28, 18","Tomas Padilla and his men are sent on a mission that turns out to be a personal vendetta by General Montalban against a governor. When it does not go as planned, Montalban sets them up as the perpetrators of the death of the governor to the media.",tl,https://image.tmdb.org/t/p/w500/A4lXKef1gP8pcgw9ace3HMpaK4H.jpg,4,Augusto Salvador,Four N Films,
"Ligaw-Ligawan, Kasal-Kasalan, Bahay-Bahayan",1993,35,A 1993 Filipino drama anthology film by Joey Gosiengfiao.,tl,https://image.tmdb.org/t/p/w500/rRc9r8G9L14ackZIIqnjZl1QDe.jpg,0,Joey Gosiengfiao,Regal Entertainment Inc.,
Crayon Shin-chan: Action Mask vs. Leotard Devil,1993,"16, 35","Everyone's favorite TV superhero Action Mask shows up in Kasukabe, and he's trying to get something from Shin-chan -- but what could it be?",ja,https://image.tmdb.org/t/p/w500/dxxnPOZnp4uOh4uFrjtpLw4Ssnf.jpg,7,Mitsuru Hongo,"TV Asahi, Shin-Ei Animation, Asatsu-DK",
Les goumiers marocains,1993,"99, 36, 10752","This film recounts through archival documents and eyewitness accounts, the history of ""The Moroccan Goumiers"" during the two world wars and the Indo-china war. A story that starts from the beginning of the French protectorate in Morocco.",fr,https://image.tmdb.org/t/p/w500/xoI06AlNE2Z8ZcFT0xSNwP1BO68.jpg,0,Ahmed El Maânouni,"GMT Productions, France 3 Cinéma",
Doring Borobo,1993,28,"Doring Borobo: Directed by Augusto Salvador. With Eddie Garcia, Eddie Gutierrez, Boots Anson-Roa, Paquito Diaz.",en,https://image.tmdb.org/t/p/w500/erLPzsXv9cbhLd6pdsiNUVIyBPW.jpg,0,N/A,,
Green on Thursdays: The Crusade Against Gay-Bashing,1993,99,A look at gay-bashing in America and the efforts that are necessary to stop it. The filmmakers spent 3 years documenting violence against the gay community that seldom made the mainstream media.,en,https://image.tmdb.org/t/p/w500/10VJmoC55yQMFOUZZhrF03iM6Vi.jpg,1,Dean Bushala,,
"Lt. Col. Alejandro Yanquiling, WPD",1993,28,"Director: Leonardo Pascual (as Leonardo ‘Ding’ Pascual) Stars: Jestoni Alarcon, Subas Herrero, Don Pepot, Anjo Yllana, Cherry Pie Picache, Alicia Alonzo, Orestes Ojeda King Gutierrez, Eddie Arenas. Robert Talby, Turko Cervantes, Danny Labra, Leo Lazaro, Mike Vergel Richard Reynoso",en,https://image.tmdb.org/t/p/w500/2z3BeVgGJr1D6dieJlLvplaqCbC.jpg,10,Leonardo Pascual,,
Wild Love,1993,"10749, 18","A dramatic love triangle between young boy and two girls from different worlds: cute American schoolgirl and painful, loveless student in Soviet boarding school.",ru,https://image.tmdb.org/t/p/w500/2AXzaa57OVEZNKNpbRClRyC760T.jpg,4,Villen Novak,Odesa Film Studio,
Kung Ako'y Iiwan Mo,1993,"18, 10749","Kung ako'y iiwan mo: Directed by Marilou Diaz-Abaya. With Lorna Tolentino, Gabby Concepcion, Sarah Jane Abad, Edu Manzano.",tl,https://image.tmdb.org/t/p/w500/x8KKJPZa3uOP0yRA5q1Mw6D2dyG.jpg,0,N/A,,
I Will Survive,1993,18,"Eight years into the reign of King Sungjong of the Chosun Dynasty, a sanction against remarrying for widows was implemented. The belief at the time was that it was better to die of starvation than to compromise one's chastity. Many widows had to live a life of loneliness in the name of defending their chastities. Han, a widow, prays to the gods asking them to alleviate her loneliness. Her devotion moves them and she is given a wooden ball. When one chants ""What is it used for?"", the ball turns into a man. When the word gets out, all the widows in the village want to take possession of this heavenly gift from the gods. When a conflict to possess the ball ensues between Han and Oh, another widow, the village lord decides to cut it in half.",ko,https://image.tmdb.org/t/p/w500/jZnltvEXgID3ubEcyRmsnR94pIA.jpg,0,Yang Byeong-gan,"Koryo Films Co., Ltd",
Bokyo,1993,"18, 36","In 1940, Kubota Shoten, which has been in business for generations, goes bankrupt due to the debauched lifestyle of its president, Kunimitsu Kubota. Subsequently, Kunimitsu moves back to his hometown and his children are sent to live with other relatives.",ja,https://image.tmdb.org/t/p/w500/sdasibgL0Zl5t4oxz0JVOgqE6dz.jpg,0,Kōichi Saitō,,
Dark Shadows of Fear,1993,18, ,de,N/A,0,Konstantin A. Schmidt,,
Ang Boyfriend Kong Gamol,1993,35,"A rich woman, trying to fight poverty, disguises herself to infiltrate the poor community, only to fall in love with a man she meets there.",tl,https://image.tmdb.org/t/p/w500/bLsobYhz4ppOknmzNOrG3blpzhS.jpg,0,Ben Feleo,Viva Films,
Babylon 2,1993,99,"The first film about second-generation Swiss immigrants: A Turkish ice hockey player explains why, in Switzerland, he could only fall in love with an Italian. A young Italian woman explains why she prefers to rap in English. A hip-hop artist with Hispanic origins fights for his political rights and the director reminisces on how, despite his Arabic roots, he's been persecuted as a Jew. Babylon 2 reflects the rise of a new urban culture in Switzerland, which is instigated by the second generation of immigrants and the help of electronic media.",fr,https://image.tmdb.org/t/p/w500/3KIhm2AZsIQfniq0TlagZu1iTDY.jpg,0,Samir,Dschoint Ventschr Filmproduktion,
The First Stone,1993,,A story of the redemptive powers of Christ's love - a janitor becomes the leader of a high school youth group with an unconventional approach. He gradually gets through to the kids relying on his faith.,en,N/A,0,N/A,,
Mr. Karate,1993,18,"Salah moves to Cairo to work as a guard in a garage and falls in love with Nadia, who works at a video store. He is obsessed with the films she has at her store and decides to learn karate.",ar,https://image.tmdb.org/t/p/w500/80kf72crZ4HJInHmp1MfQXUzNg9.jpg,5.4,Mohamed Khan,El Sobky Films for Cinema Production,
The Lady's Driver,1993,"35, 18","A Lady of the royal family live and breed on the ruins of the past, her husband, son and daughter suffering from her domination and control. When she got a new driver to work with, all the family members will have different life.",ar,https://image.tmdb.org/t/p/w500/7fmQ1VLIHhrxDnfJ43s747NOEYI.jpg,5.3,Hassan Ibrahim,El Sobky Films for Cinema Production,
Culpable o inocente,1993,,,es,https://image.tmdb.org/t/p/w500/sIEsqSN6tzfeZqN9xH66ywz9UkI.jpg,5,N/A,,
Lumuhod ka sa Lupa,1993,"28, 18",,tl,https://image.tmdb.org/t/p/w500/1OtgKWD7naF08UL2U3Z1hqwQSA8.jpg,0,Toto Natividad,Seiko Films,
Sa Isang Sulok ng mga Pangarap,1993,18,"Desperate to pursue her love affair, Rosette resorts to transforming a woman who pretends to be the wife and mother of the family she will leave behind.",tl,https://image.tmdb.org/t/p/w500/of2HcAszWnYCUxrBHnXPXkZUCoR.jpg,0,Joel Lamangan,Viva Films,
Sana'y Ikaw na Nga,1993,"28, 18, 10749","This love triangle story is about love, music, and drugs. Jessica was an upcoming singer who met Gary, a lead singer of a band, and Karlo, Gary's older brother who was an ex-convict.",tl,https://image.tmdb.org/t/p/w500/exo8qMDX4ZbOsxX8ohnNWFdTTG0.jpg,0,Eddie Rodriguez,Viva Films,
Dangerous Attraction,1993,53,Carlo Monti is a young man who wants to reveal the secret of his mother's mysterious death which occurred in a strange car accident many  years ago.He is an illegitimate son of a late film director. Carlo learns where his father's home was and goes there because he thinks his  father was involved in the accident.There he meets Emma- a glamorous young woman who claims to be Carlo's sister. Carlo is attracted by her beauty but he soon realizes that he has got involved in a dangerous and mysterious affair...,en,https://image.tmdb.org/t/p/w500/bMADEP7aTqyHgOoieA4IaWQaEoz.jpg,2,Bruno Mattei,,
Pulis Patola,1993,35,"Madness ensues when Maricar, a rich daughter of an ambassador, gets fixated on a traffic enforcer known as Bayani the Pulis Patola.",tl,https://image.tmdb.org/t/p/w500/aumIchv3LUCvMc1iDo7e9LlHC1h.jpg,0,Mike Relon Makiling,Seiko Films,
Teri Payal Mere Geet,1993,10749,Premi loved Lailajaan and one day he finds out that she works at a brothel. Later Premi finds out that Lailajaan was an ordinary dancer and he tries to win her back.,hi,https://image.tmdb.org/t/p/w500/hdCAvYzQ1aQBqRimBBJSEB6oPsw.jpg,0,Rehman Naushad,,
Light Gray,1993,18,"An omnibus with 3 segments: The Bird Urubu and Virgin, Wonderful World and Devil in the Heart, sometimes referred to as separate movies.",mk,N/A,0,Darko Mitrevski,"Vardar Film, TFRZ Pegaz Skopje, MRT",
Círculo del vicio,1993,,,es,N/A,5,N/A,,
Enteng Manok: Tari Ng Quiapo,1993,28,"Drama based on the life and times of Vicente Sangel, a cock-fight aficionado known for defending the oppressed and eliminating the wicked of Quiapo during the 50's and 60's.",en,https://image.tmdb.org/t/p/w500/fMMsX3WNwE71lfgPzysDxvLA0b1.jpg,10,Francis Posadas,Viva Films,
Galvez: Hanggang Sa Dulo Ng Mundo Hahanapin Kita,1993,28,Galvez seeking for justice.,en,https://image.tmdb.org/t/p/w500/mqNMCLaFRp5I0dTpUZTeP62MYV4.jpg,0,Manuel 'Fyke' Cinco,Regal Entertainment Inc.,
Hindi Kita Malilimutan,1993,18,"A story about an unusual relationship between a brother and sister. Carmina, an ambitious lass is accepted on a scholarship in Manila. Her brother Aga struggles to support her all throughout her school years. But Carmina, influenced by her peer, is disgraced by her brother's illiteracy and what was once a harmonious relationship is suddenly ruined. A compelling drama of a brother-sister relationship",tl,https://image.tmdb.org/t/p/w500/vQ9OWmlZjqeCw9SjeVRucrW2AD7.jpg,6,Jose Javier Reyes,Regal Entertainment Inc.,
Presence,1993,18,"A 1993 Russian language drama film directed by Andrei Dobrovolsky, starring Aleksey Petrenko, Aleksandra Butorina and Aleksandr Adabashyan. The film screened at International Film Festival Rotterdam in 1994.",ru,https://image.tmdb.org/t/p/w500/1l8KhMgqArRYSTTbqZveMryo5Pi.jpg,0,Andrey Dobrovolskiy,,
"Odio, amor y muerte",1993,,,es,https://image.tmdb.org/t/p/w500/suXp2VUXtaIf8JJraX9XGSYAoce.jpg,5,Luis Quintanilla Rico,,
El superman... Dilon,1993,35,"In this movie, Rafael Inclán stars as a man who claims at work that he is the ""boss"" at home but the truth is that his wife is the one who rules the house.",es,https://image.tmdb.org/t/p/w500/5sK3TzPGgY1qlc1lEueC59wTM88.jpg,4,Javier Durán,,
Knight of the City,1992,18,"Fares who managed to build his fortune from scratch using illegal methods goes through a tough phase in his life as his investment companies go bankrupt and his marital life becomes a total mess, and he has to find a way to save both.",ar,https://image.tmdb.org/t/p/w500/yVVZrDCSNdZ3hJR9VOZ6CVZaHKN.jpg,8,Mohamed Khan,,
Der Garderobier - Karlheinz Stempel erzählt,1993,,Documentary film.,en,N/A,0,Eckhart Schmidt,,
Obsession to Kill,1993,27,"It's a story of a man who calls up a psychiatrist's radio show and recounts how, after being raped by his mother, he went on to kill both her and many other women. He claims it was out of love for them.",es,https://image.tmdb.org/t/p/w500/xDCooXWV4PYTUjxf1sakFCJp55U.jpg,3.7,Ismael Rodríguez Jr.,"Películas Rodríguez, Oro Films, Producciones EGA S.A., Novo films, Dragon Films, Mexcinema Corporation",
Kapatid ni Hudas,1993,28,An action film based on an Aguila Komiks series.,tl,https://image.tmdb.org/t/p/w500/fl5nzgH6QWnZwvrzPHjIWYHY32Q.jpg,0,Dante Javier,Eureka Film Productions,
