Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production,Error
Nemesis,2019,"28, 53",A former psychiatric patient seeks vengeance and aims to take down a gang of underworld criminals after a tragic accident sees his beloved family killed.,th,https://image.tmdb.org/t/p/w500/kyqfLt3obPXkgh36sQu02dD8xsr.jpg,5.5,Gunparwitt Phuwadolwisid,M Pictures,
Nedunalvaadai,2019,18,"An unemployed youngster is at the crossroads, puzzled about choosing between family and love.",ta,https://image.tmdb.org/t/p/w500/yaD3E4cU68E8vBMVKaxlnt2jmIg.jpg,6.5,Selvakannan,"B Star Productions, SIP Friends",
Dreams Without My Tears,2019,"18, 10751",,si,https://image.tmdb.org/t/p/w500/aWpbxo8Cgjyo24ZczX7mhZju7Bo.jpg,0,Somalatha Herath Menike,Kulneth Media,
Hiwwe wie Driwwe - Pfälzisch in Amerika,2019,99,"400,000 Americans speak Palatinate German? Douglas Madenford, born and raised in Pennsylvania, looks for traces in his homeland and the Palatinate in the documentary ""Hiwwe wie Driwwe"" by Benjamin Wagener and Christian Schega. Doug meets many people and learns what is left of the Palatine language and culture in America and how it has developed ""hiwwe like driwwe"" here in Germany and beyond in America. About 300 years ago, many people from the Palatinate fled because of political persecution and economic reasons to the United States and mainly settled in and around Pennsylvania. They also brought their language and culture to the New World. Both have largely survived to this day. In America, people still speak their variant of the Palatinate dialect: the so-called Pennsylvania Dutch.",de,https://image.tmdb.org/t/p/w500/mY7de2h7YKJmY8EEMQoVWsXVXIx.jpg,0,Christian Schega,,
Aghavan,2019,"18, 9648",A group of criminals hatch a plan to loot the wealth of a huge temple for their selfish needs.,ta,https://image.tmdb.org/t/p/w500/n5TPNScGszwFhURgkMjD01sE58T.jpg,0,APG Elumalai,RBK Entertainment,
Felix in Wonderland,2019,99,"Fall into the world of Felix Kubin's experimentation and creation of music sound and his mastering of his instrument of predilection, the KORG MS20. A portrait of a great artist who never stops living with music in his head.",en,https://image.tmdb.org/t/p/w500/iIG1045kilaAupFHNRju0R3GYAe.jpg,5.7,Marie Losier,"Ecce Films, Volte Slagen",
Between Me and My Mind,2019,99,"Driven by a constant need to create, Phish frontman Trey Anastasio takes on new projects, including some of his most personal music to date as well as Phish's ambitious New Year's Eve show at Madison Square Garden.",en,https://image.tmdb.org/t/p/w500/rFjc8ZoE0IAu2DW8sI6oQvk4zF.jpg,10,Steven Cantor,"Live Nation Productions, Live Nation Productions",
Elections,2018,99,"It's election time for the student body. Four groups of students, with differing opinions and views of the world, create proposals, debate campaign strategies, and strive for improvements in school.",pt,https://image.tmdb.org/t/p/w500/m2HeShazNN54rNvAKrcC1TakpLH.jpg,5.4,Alice Riff,"Paideia Filmes, Studio Riff",
Patterns of Evidence: The Moses Controversy,2019,"99, 36",This documentary reveals amazing evidence connected to Moses’s ability to write the first books of the Bible and why most mainstream scholars are blinded to that possibility today.,en,https://image.tmdb.org/t/p/w500/hgssFLYUVjx5qOG9kLzbb3FtG0V.jpg,6.3,Timothy P. Mahoney,Thinking Man Films,
Miguelito - Canto a Borinquen,2019,99,"In 1973, eleven year old Miguelito was discovered singing in the San Juan airport by the legendary New York record producer Harvey Averne. Within the year, he went from the slums of Manuel A Perez,  to recording an album with some of the finest salsa musicians of the time to finally performing with Eddie Palmieri at Madison Square Garden in front of 20,000 people. Throughout Latin America his songs ‘Payaso’ and ‘Canto a Borinquen’ had become cult hits. And then he simply disappeared...",en,https://image.tmdb.org/t/p/w500/klga1iUv6h4s2PUQbZZ3T9trTWh.jpg,0,Sam Zubrycki,JOTZ Productions,
The Road To Hippie,2019,35,"Yang Feng, a literary teenager who fell out of the college entrance examination, dreamed of becoming a ""hippie"" prodigal son and vowed to complete his list of prodigal sons during graduation: fight, pick up girls, smoke and drink, meditate, and make friends with rock singers.",zh,https://image.tmdb.org/t/p/w500/9CkQHullLjoK8UBikITfKyHQWE5.jpg,9,Kuiyong Guo,,
Jack Lives Alone,N/A,"18, 53",A lumberjack’s long-lasting solitude is disrupted once a man shows up at his house asking for water.,en,https://image.tmdb.org/t/p/w500/hyYYoSppKCTQ2VSiHtbYMmB6FVy.jpg,0,Francisco Raposo,,
Lucky One,2019,18,"Ageing gangster Vincent works long nights and dreams of another life. When he is unexpectedly given responsibility for his teenage daughter, his life starts to change.",en,https://image.tmdb.org/t/p/w500/oKRXMiFwg4vOcZoAUsomtPQGUlB.jpg,0,Mia Engberg,"Story AB, Helsinki-filmi",
Mukherjee Dar Bou,2019,"18, 10751","Mukherjee Dar Bou is a story based on a modern dysfunctional family revolving around the complex and intricate yet caring relationship of a mother-in-law and daughter-in-law. The story revolves around a Bengali homemaker whose name is not known till the end of the film, and who is mostly referred as ""Mukherjee Dar Bou"". Mukherjee Dar Bou (Aditi) is married for more than ten years and has a daughter of six years old. Aditi's married life was usual but it takes a turn when her father-in-law passes away.",bn,https://image.tmdb.org/t/p/w500/a7Qw7aYidIE0jAwPMXNTdEI9Fz9.jpg,7,Pritha Chakraborty,"Windows Production House, Star Synergy Entertainment",
Curses,2019,27,"This movie is divided into three parts: ""Wicked"" tells of a cursed village, ""Tattoo"" is about a cursed tattoo and ""Wife's Curse"" follows a cursed man.",th,https://image.tmdb.org/t/p/w500/tVZIeg90w3BVVOOjITkgaBQsWBl.jpg,7,Jit Khamnoedrat,Munwork Production,
Quiet,2020,18,"Martin and Charly spend their time making rap music. One night they find a loaded gun on a hill, while Sol searches for her lost dog. Although apparently unrelated, these stories are intimately linked, forming a portrait of teenagers in their difficult passage to adulthood.",es,https://image.tmdb.org/t/p/w500/vOKbJBvXovM3kdh0KasyTbi2gTB.jpg,6.8,Luis Alejandro Pérez,OTROFOCO,
Canova,2019,99,,it,https://image.tmdb.org/t/p/w500/4XVXRuAV4AdNXuXA33VhSjdcKVA.jpg,8,Francesco Invernizzi,"Magnitudo, Lifi",
Jay's Longhorn,2019,"99, 10402",Jay’s Longhorn was the epicenter of the Minneapolis punk rock and indie rock scene in the late 1970s and sparked the explosion of alternative rock music that followed in the 1980s and 1990s.,en,https://image.tmdb.org/t/p/w500/sHdevFkujYj85Z12HZy2yWZkRGE.jpg,0,Mark Engebretson,Longhorn Films LLC,
The Red Sunsets,2019,99,The Red Sunsets is the quest of a couple that converges in politic exile and love to find the Mexico that exists now and the one that has vanished for us.,es,https://image.tmdb.org/t/p/w500/2l8QOGtyyKDR3gRQ7P4NFANqU6x.jpg,5.5,Emilio Aguilar Pradal,Centro Universitario de Estudios Cinematográficos (CUEC),
When I Last Saw Jesse,2019,99,"In 2006 Jesse Ross traveled to Chicago to attend a conference. He did not return, and has not been seen since. This film is his story.",en,https://image.tmdb.org/t/p/w500/qBjeIMqhKUDD1FruAGNPqbgA6f7.jpg,6,Brian Rose,,
Pretty Cure Miracle Universe,2019,"16, 14, 28, 35, 878, 12, 10751",Hoshina Hikaru and three other Star Twinkle Precures gaze at the sky and end up warping into the Miracle Planet.,ja,https://image.tmdb.org/t/p/w500/dn0s9dammO2Sckt1TXBrpIcY0Qv.jpg,7.7,Yukio Kaizawa,Toei Animation,
The Struggle,2019,28,"A story about Debra and her daughter Tracey struggles in the heart of Memphis. Debra tries to keep her daughter out of danger and off the streets but it doesn't help with the surrounding of drug dealers, pimps and prostitution. It gets worst when Erin and her gang interfere in situations with Tracey and Kandi. That's when Tracey takes matters in her own hands.",en,https://image.tmdb.org/t/p/w500/9Hglp2TbWA0coUh7i9MV2Opopv2.jpg,0,Robert L. Parker III,Maverick Entertainment Group,
The Monument,2019,"12, 10751, 878","Tablet, Anika and Dany are on a field trip at the Cairn of Milan Rastislav Stefánik on the Bradlo hill when they suddenly find themselves in the memories of this giant of history. They discover a fascinating world where anything is possible.",sk,https://image.tmdb.org/t/p/w500/A8KfT0Tfb3OoGTSxREVamUJupRg.jpg,0,Andrej Kolenčík,"RTVS, Cinetype",
Muttayikkallanum Mammaliyum,2019,,,ml,https://image.tmdb.org/t/p/w500/4PYU6q7kV3nhbIWMOElfIm4qX7D.jpg,0,Ambujakshan Nambiar,Aadi Productions,
Tokyo Necronomicon,2019,27,A film by Cosmotropia de Xam,en,https://image.tmdb.org/t/p/w500/en81SGYwBz1VkUjBk302D3zCYWO.jpg,0,Cosmotropia de Xam,,
Countdown,2019,"27, 53","A young nurse downloads an app that tells her she only has three days to live. With time ticking away and a mysterious figure haunting her, she must find a way to save her life before time runs out.",en,https://image.tmdb.org/t/p/w500/5TQ0kM41vWFWFAPbZGitOxDysZU.jpg,6.254,Justin Dec,"Wrigley Pictures, Universal Pictures, STXfilms",
My Stupid Boss 2,2019,"35, 18","Having driven away many of his employees, Bossman and three of his long-suffering workers try to find cheap labor in Vietnam but find trouble instead.",id,https://image.tmdb.org/t/p/w500/vJcNzz9gQTXMUtB8vD8MzA6kjdS.jpg,6.188,Upi Avianto,Falcon Pictures,
Suporter Masuk Pesantren,2019,"18, 35","Aso who has a passion for watching football at the stadium every time his favorite team competes, is put into a pesantren (Islamic boarding school)  by his parents. The condition of the pesantren causes Aso to no longer be able to freely channel his hobby of watching it to the stadium. Aso then becomes friends with Dul, Yos and Sultan, who came from different regions. pesantren then make their friendship exceed the closeness with their own siblings. They then establish friendships as ""biological friends"".",id,https://image.tmdb.org/t/p/w500/6PDXzFeSJwl7JsKEScpHgU1kJI0.jpg,0,Quraisy Mathar,Rumah Tujuh Langit,
Village of the Missing,2019,99,"The Bruce McArthur serial killer case shocked Canada’s largest city, and the whole country, when he was convicted of eight grisly murders. How did McArthur avoid arrest for nearly a decade? This film explores the untold story of Toronto’s Gay Village, and the victims of these horrific crimes.",en,https://image.tmdb.org/t/p/w500/6LcOJN42WvdCbfubQmnMXSD8Nec.jpg,1,Michael Del Monte,CBC,
My Name Is Violeta,2019,99,"Violeta leads a normal life in a well-off family, with loving parents, surrounded by everything the heart of an eleven-year-old girl might wish for. But she hasn’t always been the pretty girl she is today; she was born a boy. At age 6, she baffled her parents (the famous adult movie stars Nacho Vidal and Franceska Jaimes) when she told them she wanted to be called and dress as a girl. After the initial shock, they decided to give her all their support on the long and tough road that will lead to her becoming a woman someday. Violeta faces many challenges, medical (such as deciding whether or not to take hormone-blockers to stop the development of masculine features as soon as puberty kicks in) and legal (obtaining an ID card with her new name and gender). Later, she may consider getting a sex reassignment procedure, or the possibility of becoming a mother through adoption.",es,https://image.tmdb.org/t/p/w500/kFzRClv24sw9AFekBRA9NOTgjVz.jpg,5.2,Marc Parramon,"Polar Star Films, Mediapro",
Winter Journey,2019,"18, 36","Tucson, Arizona, September 1996. At the request of his son Martin, George Goldsmith tells him of his past in Nazi Germany as a member of a family of Jewish musicians and the strange history of the Jüdischer Kulturbund, a Jewish organization sponsored by Reichsminister Joseph Goebbels.",da,https://image.tmdb.org/t/p/w500/liLcTBN3lKNR6QcMGN4Jt4s8wUB.jpg,8,Anders Østergaard,"Zero One Film, Plus Pictures, NDR",
Odd Love,N/A,"35, 10749","After graduating high school, Quinn realizes that this is his last chance to tell his long-time crush, Audrey, how he really feels.",en,https://image.tmdb.org/t/p/w500/w3i5ormppL6VH8qvGJPLjq3nhz0.jpg,0,Julian Berger,Medium Well Productions,
Jiyan,2019,18,Hayat has come to Berlin with her husband Harun to provide a better life for their unborn child. All they have is a small suitcase and Hayat’s nightmares of her life in Syria.,de,https://image.tmdb.org/t/p/w500/tWGTWGq3J3MVAmkzFQL0KhboqYg.jpg,8,Süheyla Schwenk,,
Humba Dreams,2019,"18, 10749","At his mother's request, a university student returns to his home on the island of Sumba, where questions about his late father come to light.",id,https://image.tmdb.org/t/p/w500/10QvfyxcLW0sGtbZSJXFkF4nOAt.jpg,6.5,Riri Riza,Miles Films,
Snow to Sand,2018,99,"Explorers Shawn Forry and Justin Lichter complete the first ever winter expedition of America's 2,650-mile Pacific Crest Trail from Canada to Mexico.",en,https://image.tmdb.org/t/p/w500/dEiOpdQ0TrWuKA55XEvpRqW1rCx.jpg,6.3,Brent Yontz,,
Zagreb Equinox,2019,35,"Six young friends decide that the 2015 spring equinox is a great reason to throw a party. Two of them will prepare the ""venue"", the other two will get the booze, and the last two will get the weed. And right before midnight, they'll meet at the party to welcome the arrival of spring. Or not, depending on how they handle the situations they find themselves in while trying to run their seemingly simple errands, in which we get to know Zagreb, its life and nightlife, and the characters get to know themselves and each other.",hr,https://image.tmdb.org/t/p/w500/rhqiOpZGtcQlWa0ZXrUvGev4HBB.jpg,7,Svebor Mihael Jelić,"CEFGI, Blank",
Between Maybes,2019,"18, 10749","Amidst the silence and isolation, Hazel and Louie find comfort in each other as they both needed it at that certain point in their lives. But knowing how far apart their worlds are, they can only hold on to the belief that some encounters are special because of how fleeting they are.",tl,https://image.tmdb.org/t/p/w500/zgaRu1fNiMF3axvlOLh3Nns8UIG.jpg,3.2,Jason Paul Laxamana,Black Sheep,
Bumi Itu Bulat,2019,"18, 10751","Rahabi, Markus, Hitu, Sayid and Tiara formed an acapella group named Rujak Acapella. Rahabi wants Rujak Acapella to succeed to paid his little sister, Rara's tuition college. The way opened when Aldi, a music poducer offered them a contract; with a condition Aisha must join Rujak Acapella. Rahabi finally must make a choice, whether he must chase his dream, with the risk he must lose everyone he cared about.",id,https://image.tmdb.org/t/p/w500/d3dCCkqblDONevHA9faBX1ezeXw.jpg,0,Ron Widodo,"Inspira Pictures, Ideosource Entertainment, GP Ansor, Astro Shaw",
War of Art,2019,99,"What happens when a group of international artists travel to North Korea to create art like the regime have never seen before? While the world is on the verge of nuclear war, a group of Western contemporary artists are invited into the eye of the storm. The aim is to collaborate with North Korean artists in a creative exchange project displaying new and challenging art in a country where abstract art is forbidden.",en,https://image.tmdb.org/t/p/w500/dDZJvyTErXFJeIm3vghbg3xskkb.jpg,4,Tommy Gulliksen,"Norsk Fjernsyn, Story House Productions, ZDF",
The Zurich Affair - Wagner's One and Only Love,2021,18,"Richard Wagner is working on his new opera ""Tristan and Isolde"". Mathilde Wesendonck and her husband, the silk-merchant Otto Wesendonck venerate Wagner. Mathilde is turning from a loving mother into a muse of the new music.",de,https://image.tmdb.org/t/p/w500/1whJLnH6B7XnAfnEDiBTuvkxB5e.jpg,0,Jens Neubert,Syquali Multimedia AG,
Opening the Door,2019,"18, 35","Yakup and Şemsa are Assyrians living in Berlin with their three children and grandchildren. Twenty-five years ago they migrated from Mardin to Berlin. One day they receive a phone call from Mardin. This unexpected call deals with their son Mikhael, whom they lost twenty-five years ago. All the suffering of the family is refreshed. Yakup and Şemsa go to Mardin with their grandchildren, Nardin, who do not want to leave them alone. This trip will be the beginning of all their personal journeys. When the craftsman Yakup, who had not come for years, abandoned his village and saw his house looted; He will go after his house door. On his journey of finding the door, he will be accompanied by her granddaughter Nardin and the smuggler Remzi.",tr,https://image.tmdb.org/t/p/w500/lFqKxeNVDJBhSQTMld8cswDfUXi.jpg,5.5,Nihat Durak,CJ ENM Turkey,
Gail's New Boyfriend,2019,"35, 10749","New Media Comedy presents the most unusual love story of all time. Gail is human. Her new boyfriend is not. Can a woman and a ventriloquist's dummy find true love in NYC? Check out Amanda Nicholas and her co-star ""Jack"" as they give you a taste of the RomCom as you've never seen it before!",en,https://image.tmdb.org/t/p/w500/ve0J6Ra0ZKXCn4p5KbdpmaQFmDh.jpg,2,Jim Mendrinos,,
Life In Common,2019,99,"A puma stalks Pueblo Nación Ranquel, an indigenous community in the North of Argentina. Hunting is a rite of passage, and the older boys want to kill the puma. But Uriel chooses a different path.",es,https://image.tmdb.org/t/p/w500/yVqN251ot6uBR1E2oHKnSoEsDMC.jpg,7,Ezequiel Yanco,"Isoi Cine, Dublin Films",
Alem-i Cin 2,2019,27,,tr,https://image.tmdb.org/t/p/w500/v6sRAZMh3rwVs1KU77v41c3J4H1.jpg,7,Özgür Bakar,"Film Fabrikası, NTC Medya",
Sinner,2019,"18, 35, 10749",,nl,https://image.tmdb.org/t/p/w500/zAyGElGPP5rIrdGmQzbKGehVInE.jpg,0,Emilie Verhamme,,
Fabulous,2019,35,Fabulous is a light comedy about three young women. It is an entertaining look at the paradoxes that young women face in a world where value depends on how many “likes” you receive online.,fr,https://image.tmdb.org/t/p/w500/vZn9NocW7wj4SPf7fXM1k5iRZ0F.jpg,6,Mélanie Charbonneau,GO Films,
Pavlovsky,2019,99,,ca,https://image.tmdb.org/t/p/w500/kbZE4f12NyXbrrtqVucvpvh95BK.jpg,0,Albert de la Torre,"Estudi Bárbara Granados, RTVE, TV3",
Maurice Hines: Bring Them Back,2019,99,"Maurice Hines, a charming, gay African-American entertainer navigates the complications of show business while grieving the loss of his more famous, often estranged younger brother, tap dance legend Gregory Hines.",en,https://image.tmdb.org/t/p/w500/g12mBCGP5T2ZUQC9jUv26mQ5GsZ.jpg,5,John Carluccio,Cinqua,
The Victory Will Be My Gift To You!,2019,18,"«The Victory will be my gift to you!». This is the promise, which the 17-year old volunteer soldier makes to a very young hospital nurse, with whom he is madly in love. Many years later following a tragic accident the protagonist of our story will get hold of the volunteer’s diary. He lives is a bustling vicious city sparkling with steel and other expensive tinsel. He has achieved almost everything that a modern citizen might dream of – ha has successful career, a striking well-groomed wife and other attributes of his status. From time to time he shares his success formulas with hundreds of students of a business school dreaming of making a similar career.",ru,https://image.tmdb.org/t/p/w500/uto1s6TxxOs3SRepdtDLEZwDtTH.jpg,0,Arsen Agadzhanyan,,
Staged Killer,1998,"10770, 53","When a former co-host, Jake Everett, works his way back into the professional life of popular TV morning show host Naomi Spencer, the show's success skyrockets, but Naomi's personal life begins to fall apart.",en,https://image.tmdb.org/t/p/w500/dmGUZc2QmejjVHhNniANS1JbkNs.jpg,4,Chris Ray,"Rented Mule Films, Reel One Entertainment",
Die Wiese: Ein Paradies nebenan,2019,99,,de,https://image.tmdb.org/t/p/w500/x4e0da3yVA5s2DHcz02rD0Chbhc.jpg,8.6,Jan Haft,The Nautilus Film Company,
Once Upon a Time in Deadwood,2019,37,"A notorious gunslinger is slipped a slow-acting poison by an heiress and told he has three days to track down and rescue her sister, who has been kidnapped by a gang of hoodlums and holds the antidote.",en,https://image.tmdb.org/t/p/w500/meiO1ubAPBcHouNSSBisTThd27p.jpg,4.3,Rene Perez,"Millman Productions, Ron Lee Productions",
Mr Misfortune,2019,"53, 80","In a misguided attempt to protect his friend from an extortionist, a man hijacks a blackmail scheme and puts himself and everyone he cares about in danger.",en,https://image.tmdb.org/t/p/w500/aGqeG2sLWs6OZExc50U27oL2ht3.jpg,0,Rick Caplan,RCAP Media LLC,
Mystified,2019,"14, 35","Four witches Althea, Kathalina, Helena and Adela find themselves in a new world trying to fit in a world where no one believes in magic anymore. How can this Coven of 4 defend the modern world from evil forces when their supernatural being and powers have been reduced to near extinction?",tl,https://image.tmdb.org/t/p/w500/tSTpR55g7Hp3KnPndGzTEuvXgVb.jpg,0,Mark A. Reyes,Sanggre Productions Inc,
Drama,2019,18,"Three directors make a movie about the events of their past week. Relationships, work, and day-to-day personal struggle—the minute details still fresh on their minds—are shown with unseen crystal clarity that challenges the very notion of dramatic fiction.",ru,https://image.tmdb.org/t/p/w500/gVRmbSR1UXVwejrlviR9cphSN3t.jpg,7,Alexey Svirsky,,
Brené Brown: The Call to Courage,2019,99,"Brené Brown is a research professor at the University of Houston Graduate College of Social Work. She has spent more than a decade studying vulnerability, courage, authenticity and shame. With two TED talks under her belt, Brené Brown brings her humor and empathy to Netflix to discuss what it takes to choose courage over comfort in a culture defined by scarcity, fear and uncertainty.",en,https://image.tmdb.org/t/p/w500/cnjzskLPzbQiQCwJGRt05FFTUpH.jpg,7,Sandra Restrepo,,
Grass Is Greener,2019,99,"Weed. Marijuana. Grass. Pot. Whatever you prefer to call it, America’s relationship with cannabis is a complicated one. In his directorial debut, hip hop pioneer Fab 5 Freddy presents an unparalleled look at the racially biased history of the war on marijuana. A range of celebrities and experts discuss the plant’s influence on music and popular culture, and the devastating impact its criminalization has had on Black and Latino communities. As more and more states join the push to legalize marijuana, this documentary dives deep into the glaring racial disparities in the growing cannabis market.",en,https://image.tmdb.org/t/p/w500/mmOzTN4DFjtswjx5zb3mJc5e2Ah.jpg,6.7,Fab 5 Freddy,,
Fiancées,2019,99,"Cairo, a city of more than 20 million people, has recently gone through multiple political, cultural and economic upheavals, forcing Egyptian society to reinvent itself. In Egypt, people don't live on their own and it's only after they get married that they can leave their parent's home to create their own household. Whatever their intimate feelings might be, marriage is an inevitable step towards independence.",en,https://image.tmdb.org/t/p/w500/aSubAGZsKaJAw74xsaB2pYD2MkH.jpg,0,Julia Bunter,,
Killing Your Daughter,2019,"10770, 53","When a DNA test helps Candace connect with her birth parents, she realizes some family histories are better left untold.",en,https://image.tmdb.org/t/p/w500/mNPnzUHAkgNVzQomDVn0AcQBBDY.jpg,5.2,Craig Goldstein,The Cartel,
Scare Attraction,2019,27,Reality TV stars attend a Halloween Scare Attraction. Suddenly the escape room turns deadly as gas leaks in leaving them unconscious. A voice tells them they must tell a truth or die. Who will survive the real scare attraction?,en,https://image.tmdb.org/t/p/w500/5j5hVmC6hqtbluwctauPVlULep7.jpg,4.7,Steven M. Smith,"Greenway Entertainment, Rellik Films",
Shell and Joint,2019,18,"Nitobe and Sakamoto are childhood friends who now work at the front desk of a capsule hotel. Nitobe has a particular fondness for philosophy and crustaceans. Sakamoto, meanwhile, is fixated on suicide. The capsule hotel draws a variety of guests, including a Finnish mother who has lost her child, a fugitive woman, and a researcher studying Daphnia. None of their lives ever intersect. They exist, but never cross, like cells in a capsule hotel. The themes of life and death are explored through a fragmentary view of the characters’ lives.",ja,https://image.tmdb.org/t/p/w500/bbS5MPjkOclZvyC5Rj4A57aW511.jpg,6,Isamu Hirabayashi,,
Faustina: Love and Mercy,2019,"18, 99","Docudrama tracing the life of Saint Faustina Kowalska, whose visions of Jesus Christ inspired the Roman Catholic devotion to the Divine Mercy and earned her the title of ""Apostle of Divine Mercy"".",pl,https://image.tmdb.org/t/p/w500/j8pqRHRrCqcpj7bwkcPQwygJ4b8.jpg,8.484,Michał Kondrat,Fundacja Filmowa im. św. Maksymiliana Kolbe,
Black Fox: Age of the Ninja,2019,"28, 12, 18, 36","The era when Samurai and Ninja existed in Japan. Rikka Isurugi was born and raised in a Ninja clan secluded from society. She soon meets Miya, a girl with a mysterious power, who is found lost in the mountains. As Rikka is concerned that someone is pursuing Miya, she also asks the head the of Isurugi Ninja Clan for permission to avenger her father's death. Soon Rikka faces danger with the attack of the Negoro group but…",ja,https://image.tmdb.org/t/p/w500/yeJUCJVwlz2mI7mWTTCkmuklIdA.jpg,6.7,Koichi Sakamoto,"Jidaigeki Senmon Channel, Toei Company",
Bad Nun: Deadly Vows,2020,27,"Catherine and her family recently moved into a converted church. Upon moving in, they have been harassed by an unknown religious stalker, claiming them to be sinners. Pamela, Catherine's grandmother soon begins to reveal she has secrets hidden to the local church, and not all is as it seems. Each night the Nun returns, and this time, she is looking to claim more than one soul.",en,https://image.tmdb.org/t/p/w500/2MCRbZy8iLHpCUX8yxe0v0JXsqn.jpg,5.1,Becca Hirani,Proportion Productions,
VI,2019,"53, 27","When Jerry (an alcoholic) promises his mom to stop drinking, he finds himself in a difficult place mentally and physically. But when Jerry's mom passes away that's when the real challenge happens - trying to keep his promise, while not losing it. Jerry must come face to face with his inner demons.",en,https://image.tmdb.org/t/p/w500/8yTkltFGkcN6suab9mkODBqvfOS.jpg,10,Jesus Pasos,Spektre Studios,
Arbëria,2019,18,"After her father's death, Aida returns to her Arbëreshë village and grapples with complicated feelings about her origins.",it,https://image.tmdb.org/t/p/w500/xzOPbV41ZvMOQTBra9ERzwLiJXI.jpg,5.3,Francesca Olivieri,"BCC Mediocrati, Calabria Film Commission, Lucana Film Commission, MiC, Open Fields Productions, SIAE",
3D Print Masters,2020,99,"3D Print Masters unveils the exciting world of the 3D Printing Community with it's most innovative and popular Inventors, Creators, Designers and Engineers who take viewers on a journey through the creation process and tech they use.",en,https://image.tmdb.org/t/p/w500/coigslnarjhqxpMxYBaFxiM6U9R.jpg,7,Brett Gerking,Motion Picture Video,
Tunguska Butterfly,2019,"28, 80, 18, 53",A professional thief befriends a little girl.,ja,https://image.tmdb.org/t/p/w500/e1pdGz25aNHvnIe48oHw6w70HEP.jpg,0,Akira Nobi,MAMEZO PICTURES,
Mullappoo Viplavam - Jasmine Revolution,2019,18,"The story revolves around the life of Haripriya, a school teacher.",ml,https://image.tmdb.org/t/p/w500/xIYxCHztt9uvN1mrBMuR5m8kHw2.jpg,0,Nicleson Poulose,,
Vellai Pookal,2019,"18, 53, 80","A retired cop goes to the US to live with his son and becomes involved with a kidnapping case. Even as he is trying to track down the kidnapper, the case becomes too personal.",ta,https://image.tmdb.org/t/p/w500/luD1w7nim7jejDlOBYkX7ARBLhB.jpg,6.1,Vivek Elangovan,"Indus Entertainments, Trident Arts",
Mere Pyare Deshvasiyom,2019,,"A group of spirited elderly citizens who rediscover their passion for life, hailing from a village where the literacy rate is pretty low, this motley group of elders will fight against the odds to achieve their graduation dreams.",ml,https://image.tmdb.org/t/p/w500/51iQMzbVhS5kuMEyDsnFw8oGqpK.jpg,0,N/A,,
Dans la matinée,2019,18,,fr,https://image.tmdb.org/t/p/w500/jYRgg24DhjWHqrzyM58ApYFrJ8k.jpg,0,Franck Llopis,Les Films à Fleur de Peau,
Calling,2019,80,"This film tells the story of a middle-aged real estate tycoon - Jianguo Wang - suffering from a dual personality disorder exacerbated by extreme work and private life pressures. One day, he receives a call from a stranger. The stranger is able to mysteriously control Wang's car door from a distance. If Wang has a hope of opening the door, he must obey the stranger's increasingly bizarre orders. Based on the stranger's puzzling clues, Wang sees himself divorced from his beautiful but demanding wife Min, his lover Ling-Ling is murdered by a man donning a black coat in a hotel suite, and Wang's Real Estate empire collapses around him. In tantalizing morsels, the stranger continues to reveal the things Wang has done in the past. Finally, the stranger gives him a pill and Wang falls into a coma. After several minutes, in a darkened room the mobile rings again. Wang is standing in an unlit room with a menacing grin - dialing himself .",en,https://image.tmdb.org/t/p/w500/ri3z5tV8DWW2VnDep2bKxO7EdXT.jpg,0,Yu Zhang,,
MeloDylan,2019,18,"Melody moves to another school because of avoiding problems, moreover she has a bad past with David, her ex-lover. But in the new school, the problem re-emerges when Melody meets Dylan, a guy who had been famous for being cool, like to make trouble but still an idol because of his handsomeness. Rumors about Dylan are common knowledge. Melody and Dylan find no point in their love relationship, so they agree to sever their relationship. Melody just realizea that her love for Dylan is so great. But it's too late. Dylan is sent by his father to study abroad. Melody could only be sad to let him go. Before leaving, it turns out Dylan gives a romantic video to Melody. With the video, Dylan reveals all of his mind. Dylan's honesty makes Melody have new hopes.",id,https://image.tmdb.org/t/p/w500/x78YsKDgCoOdj09QRuuvAsJRpQy.jpg,5.3,Fajar Nugros,Intercept Filmcraft,
Dharma Prabhu,2019,"35, 18, 14",Lord Shiva accuses Yama for saving the life of a criminal-politician when the latter tries to stop a little girl from dying. Yama is given a few days' time to rectify his action.,ta,https://image.tmdb.org/t/p/w500/i7fI7KhsBOZRMAKPHbssXGfBz9I.jpg,5,Muthukumaran,Sri Vaari Film,
Leur souffle,2019,99,,fr,https://image.tmdb.org/t/p/w500/m9nAu9yLkMv4Lh3wAaOi60kYrJX.jpg,0,Ivan Marchika,,
The Journey of Monalisa,2019,99,"After 17 years working as a street prostitute in New York City, undocumented immigrant, Iván Monalisa reunites with former college classmate Nicole, the director of this film. Through their creative bond, Monalisa re-flourishes as a transgender performer and writer, in the search for identity and legalization.",es,https://image.tmdb.org/t/p/w500/lBTmL9ITPulYuJ2eMvZNbeUVH3W.jpg,0,Nicole Costa,Mimbre Producciones,
My Second Year in College,2019,18,Mahtab and Ava are classmates in their second year of college studying engineering. The story begin when they and other classmates go on a trip to Esfahan.,fa,https://image.tmdb.org/t/p/w500/3tcHfo1WwTkRUH8OdnJRpoXMeMR.jpg,0,Rasoul Sadrameli,,
